Income,Age,Total_Spend,Total_Purchases,Customer_Tenure,Cluster
69674.0,58,845,22,4648.0,1
44159.0,56,275,11,4648.0,2
37717.0,48,25,3,4648.0,2
43776.0,74,275,11,4769.0,0
38179.0,60,90,7,4648.0,2
80124.0,63,1495,18,4648.0,1
38097.0,56,184,7,4648.0,2
72940.0,56,981,12,4648.0,1
22070.0,56,67,6,4730.0,2
69267.0,73,1635,12,4648.0,1
31788.0,43,60,7,4648.0,2
61905.0,51,231,10,4373.0,0
29315.0,66,48,6,4310.0,0
33378.0,63,99,6,4677.0,2
66313.0,63,770,21,4648.0,1
60714.0,70,957,21,4648.0,1
77882.0,45,818,11,4648.0,1
69867.0,40,925,16,4795.0,1
63841.0,58,908,21,4648.0,1
24480.0,45,102,7,4524.0,2
65640.0,52,461,14,4462.0,0
44319.0,51,37,5,4648.0,2
30631.0,52,70,6,4489.0,2
75278.0,74,930,22,4648.0,1
50898.0,70,859,20,4617.0,1
79946.0,60,1478,21,4126.0,0
35416.0,77,390,13,4648.0,0
32414.0,42,52,4,4733.0,2
38361.0,57,137,7,4648.0,2
82497.0,46,1919,18,4648.0,1
16626.0,55,68,6,4648.0,2
29672.0,61,25,3,4493.0,2
55951.0,74,1374,20,4648.0,1
35388.0,38,32,4,4646.0,2
42386.0,40,100,6,4648.0,2
68627.0,44,825,11,4495.0,0
57912.0,61,916,23,4648.0,1
35246.0,68,62,7,4648.0,2
58821.0,70,728,20,4486.0,0
46377.0,48,90,6,4462.0,0
39747.0,38,273,10,4648.0,2
23976.0,42,66,7,4648.0,2
80950.0,65,1213,22,4648.0,1
27038.0,60,107,6,4648.0,2
77457.0,79,1157,17,4342.0,0
64100.0,62,546,17,4548.0,0
42670.0,34,241,10,4648.0,2
12571.0,50,53,7,4648.0,2
22574.0,59,37,5,4648.0,2
51381.5,37,1611,23,4765.0,1
70893.0,50,1508,22,4677.0,1
54198.0,60,235,10,4648.0,0
28839.0,70,32,5,4158.0,0
40321.0,54,102,6,4648.0,2
66503.0,41,401,13,4648.0,2
30833.0,75,28,4,4648.0,2
51381.5,56,1052,15,4648.0,1
64795.0,55,680,18,4648.0,1
34421.0,52,30,3,4823.0,2
47025.0,61,20,3,4220.0,0
64325.0,65,1307,18,4647.0,1
40464.0,73,630,18,4525.0,0
62187.0,69,1283,17,4703.0,1
14849.0,50,65,6,4792.0,2
27255.0,42,37,4,4638.0,2
54432.0,76,38,4,4582.0,0
29999.0,40,160,8,4648.0,2
24072.0,43,23,3,4648.0,2
33996.0,37,71,5,4517.0,2
66334.0,70,1161,17,4767.0,1
35178.0,55,59,4,4556.0,2
22010.0,43,33,5,4648.0,2
62204.0,66,946,21,4852.0,1
75693.0,58,1442,21,5032.0,1
30675.0,54,62,4,4850.0,2
83003.0,61,1674,21,4768.0,1
83532.0,127,1853,14,4648.0,1
68655.0,38,1538,20,4914.0,1
41411.0,40,139,7,4637.0,2
55212.0,57,1182,17,4648.0,1
59292.0,76,507,16,4648.0,0
27190.0,53,18,3,4648.0,2
82623.0,74,940,15,4546.0,1
44300.0,61,42,4,4648.0,2
84835.0,56,1190,14,4648.0,1
30372.0,55,44,5,4648.0,2
33181.0,50,16,3,4405.0,2
71113.0,69,835,22,4648.0,1
71952.0,40,1443,20,4556.0,1
69759.0,60,1029,15,4648.0,1
72099.0,52,1188,17,4648.0,1
60000.0,50,1277,19,4648.0,1
38643.0,48,49,5,4648.0,2
50737.0,71,99,6,4521.0,0
68462.0,57,1670,14,4849.0,1
65073.0,83,900,13,4648.0,1
46681.0,78,425,14,4608.0,0
78618.0,69,2153,21,4648.0,1
62187.0,57,636,18,4648.0,1
28442.0,48,57,7,4648.0,2
51479.0,59,494,15,4648.0,0
54803.0,57,693,17,4648.0,1
79530.0,66,1348,25,4648.0,1
31615.0,50,51,5,4648.0,2
72025.0,64,1932,15,4648.0,1
52614.0,51,990,14,5184.0,1
35684.0,42,30,4,4648.0,2
48178.0,51,254,10,4648.0,2
29548.0,56,29,4,4648.0,2
63810.0,60,1371,19,4880.0,1
38578.0,54,73,6,4648.0,2
46098.0,51,120,7,4648.0,2
22585.0,56,81,4,4648.0,2
30279.0,37,37,4,4648.0,2
66426.0,65,1377,18,4789.0,1
30822.0,57,51,4,4648.0,2
33581.0,57,17,3,4617.0,2
19986.0,41,22,3,4648.0,2
27421.0,72,324,11,4849.0,2
36143.0,45,19,3,4648.0,2
10245.0,55,41,5,4648.0,2
43795.0,58,492,14,4648.0,0
63381.0,66,1005,22,5065.0,1
38823.0,77,114,6,4648.0,0
83664.0,58,1173,16,4613.0,1
90300.0,47,1738,19,4405.0,1
62499.0,47,222,10,4575.0,0
74293.0,33,1127,15,4370.0,0
51012.0,80,209,9,4648.0,0
70777.0,58,787,20,4648.0,1
68682.0,35,1598,23,4669.0,1
43824.0,55,186,8,4648.0,2
15345.0,42,47,4,4648.0,2
23442.0,39,27,4,4648.0,2
14515.0,46,96,7,4941.0,2
31395.0,70,64,6,4648.0,2
75276.0,61,1040,22,4648.0,1
42373.0,52,163,8,4648.0,2
30507.0,66,343,10,4523.0,0
55521.0,71,446,15,4648.0,0
48006.0,61,41,4,4216.0,0
27213.0,54,70,6,4648.0,2
65808.0,55,272,11,4648.0,0
30351.0,52,46,5,4673.0,2
50437.0,63,490,16,4648.0,0
23616.0,44,79,6,4648.0,2
53858.0,50,915,13,4941.0,1
66465.0,71,1485,32,4648.0,1
46923.0,39,369,13,4648.0,2
75072.0,64,1073,17,4648.0,1
75865.0,83,1242,18,4648.0,1
19789.0,51,78,6,4648.0,2
80134.0,32,1378,20,4648.0,1
91065.0,45,1474,25,4648.0,1
49505.0,55,751,20,4707.0,1
37401.0,53,48,5,4309.0,0
18492.0,44,10,3,4339.0,2
82584.0,52,1435,15,4734.0,1
93027.0,85,2119,22,4648.0,1
48686.0,73,20,3,4728.0,2
92910.0,40,1795,26,4648.0,1
75433.0,37,1188,17,4341.0,0
10404.0,37,43,5,4370.0,2
61314.0,58,1008,22,4648.0,1
84865.0,65,1688,15,4582.0,1
42387.0,37,684,16,4648.0,2
67309.0,59,1082,24,4648.0,1
75236.0,62,1068,24,4648.0,1
30015.0,56,57,5,4432.0,0
50943.0,70,46,4,4648.0,0
67272.0,60,733,20,4648.0,1
51529.0,77,467,15,4640.0,0
32011.0,55,122,7,4648.0,2
7500.0,40,36,5,4647.0,2
28691.0,37,34,4,4733.0,2
56223.0,78,156,8,4648.0,0
18100.0,80,14,3,4671.0,2
20130.0,52,34,4,4648.0,2
23295.0,67,20,3,4648.0,2
42618.0,54,192,9,4577.0,2
81246.0,62,1379,16,4648.0,1
24027.0,50,48,5,4581.0,2
55707.0,73,428,14,4648.0,0
57959.0,71,868,22,4794.0,1
56796.0,57,1001,24,4648.0,1
36230.0,55,59,6,4648.0,2
70829.0,46,431,14,4818.0,1
65991.0,50,971,24,5005.0,1
38988.0,54,348,12,4648.0,2
89572.0,60,2059,23,4648.0,1
42207.0,42,265,10,4826.0,2
50300.0,74,270,11,4648.0,0
66664.0,44,1289,18,4648.0,1
60597.0,62,893,12,4464.0,0
70165.0,77,926,21,4648.0,1
50520.0,68,135,7,4648.0,0
33183.0,51,120,7,4648.0,2
66582.0,57,1288,19,4403.0,1
75261.0,71,1743,16,4648.0,1
31880.0,56,15,3,4648.0,2
53790.0,75,542,17,4311.0,0
49269.0,55,890,22,4648.0,1
61456.0,51,1388,29,4648.0,1
37406.0,46,17,3,4547.0,2
56937.0,45,906,23,5097.0,1
38415.0,48,44,4,4798.0,2
20518.0,38,25,4,4648.0,2
62503.0,70,973,22,4648.0,1
41644.0,54,31,4,4217.0,0
55842.0,49,518,16,4648.0,0
62010.0,54,530,15,4648.0,0
41124.0,49,506,14,4648.0,2
38961.0,53,70,5,4648.0,2
37760.0,54,54,5,4518.0,2
32233.0,52,296,10,4648.0,2
43057.0,51,266,11,4648.0,2
83151.0,66,747,18,4912.0,1
78825.0,62,895,28,4648.0,1
65104.0,50,1053,15,4648.0,1
60093.0,52,735,19,4648.0,1
14045.0,57,20,4,4648.0,2
28457.0,74,205,9,4648.0,0
78952.0,68,2092,19,4648.0,1
46310.0,50,309,12,5124.0,2
76005.0,71,1722,21,4648.0,1
58308.0,62,900,11,4495.0,0
55614.0,82,682,19,4648.0,1
59432.0,64,663,19,4648.0,1
55563.0,48,43,5,4341.0,0
78642.0,55,1816,17,4648.0,1
67911.0,77,976,24,4648.0,1
65275.0,82,746,20,4767.0,1
27203.0,76,64,4,5036.0,2
48330.0,65,32,4,4648.0,2
24279.0,36,263,8,4648.0,2
64355.0,41,1445,19,4648.0,1
53653.0,73,1210,26,5003.0,1
65665.0,50,945,23,4787.0,1
81217.0,37,1157,21,4648.0,1
34935.0,34,137,7,4648.0,2
61250.0,67,730,19,4648.0,1
39665.0,45,216,9,4648.0,2
60152.0,47,943,22,4648.0,1
48920.0,62,347,13,4648.0,0
89120.0,67,1924,18,4648.0,1
44124.0,80,397,13,4521.0,0
81169.0,51,2089,21,4648.0,1
36443.0,65,138,7,4769.0,2
26095.0,36,42,4,4648.0,2
71367.0,67,777,16,4648.0,1
80184.0,82,1902,19,4462.0,1
30630.0,61,52,5,4648.0,2
73454.0,39,1651,12,4462.0,1
42691.0,35,358,12,4648.0,2
70503.0,73,1727,15,4648.0,1
25545.0,39,210,7,4974.0,2
32880.0,40,42,4,5093.0,2
77863.0,68,1291,19,4648.0,1
50353.0,49,442,14,4247.0,0
61839.0,62,1895,16,4853.0,1
49154.0,66,411,13,4760.0,0
47682.0,51,521,15,4648.0,0
72679.0,57,1168,16,4648.0,1
57954.0,49,493,16,4648.0,0
65316.0,64,260,10,4648.0,0
28567.0,44,46,5,4648.0,2
47352.0,75,319,12,4522.0,0
44931.0,59,96,6,4648.0,2
76982.0,59,1062,15,4648.0,1
57247.0,74,232,10,4610.0,0
22944.0,45,76,6,4648.0,2
25315.0,49,54,6,4638.0,2
43638.0,57,201,9,5036.0,2
42710.0,42,406,12,4648.0,2
84169.0,44,1919,19,4641.0,1
54058.0,50,662,18,4734.0,1
24683.0,36,41,6,4250.0,0
85620.0,62,1600,13,4283.0,0
47850.0,46,134,7,4759.0,2
19514.0,58,69,6,4648.0,2
27159.0,53,21,4,4648.0,2
39548.0,63,54,5,4648.0,2
21474.0,37,91,6,4249.0,0
60504.0,55,526,16,4282.0,0
22419.0,63,162,7,4648.0,2
81698.0,77,1008,24,4668.0,1
43462.0,74,240,10,4852.0,2
54880.0,48,795,19,4827.0,1
79908.0,44,1772,18,4706.0,1
15315.0,56,64,6,4763.0,2
87771.0,67,1957,19,4648.0,1
33039.0,48,78,6,4578.0,2
81741.0,46,1572,19,4648.0,1
71499.0,55,795,24,4648.0,1
62466.0,56,889,21,4648.0,1
48799.0,63,331,12,4699.0,0
52157.0,76,265,10,4278.0,0
66565.0,64,1065,15,5063.0,1
29298.0,75,11,3,4640.0,2
47691.0,47,21,3,4703.0,2
38200.0,56,17,3,5002.0,2
44989.0,52,369,11,4852.0,2
38443.0,58,38,4,4648.0,2
38593.0,48,177,8,4648.0,2
64413.0,56,279,11,4822.0,2
36959.0,45,62,5,4789.0,2
61996.0,49,1230,18,4648.0,1
51287.0,58,182,8,4461.0,0
13260.0,56,49,6,4648.0,2
47472.0,60,75,6,4648.0,2
54603.0,70,227,10,4580.0,0
45207.0,52,215,10,4911.0,2
47821.0,59,47,4,4648.0,2
27450.0,75,143,6,4648.0,2
39453.0,43,55,5,4402.0,2
26850.0,55,63,7,4648.0,2
79800.0,71,1867,21,4648.0,1
61794.0,65,611,18,4648.0,1
53863.0,71,473,15,4648.0,0
24221.0,67,55,5,4648.0,2
39684.0,42,81,5,4851.0,2
92163.0,51,2086,21,4849.0,1
69882.0,61,1478,19,4546.0,1
33178.0,49,49,4,4648.0,2
59973.0,54,382,14,4517.0,0
17459.0,51,69,6,4648.0,2
23910.0,57,67,5,4648.0,2
42169.0,57,30,4,4648.0,2
26224.0,48,63,6,4734.0,2
31089.0,45,79,7,4648.0,2
30081.0,65,42,4,4648.0,2
62807.0,66,819,20,4648.0,1
72906.0,71,1151,16,4648.0,1
61467.0,78,594,17,4940.0,1
49618.0,60,129,7,4648.0,2
21888.0,40,213,8,4648.0,2
26150.0,70,28,4,4523.0,0
30801.0,51,45,4,4648.0,2
81168.0,61,1193,17,4279.0,0
26877.0,57,268,10,4648.0,2
45006.0,82,266,11,4648.0,0
18978.0,53,37,4,4879.0,2
48240.0,57,882,22,4941.0,1
45837.0,52,373,13,4648.0,2
35791.0,61,35,4,4674.0,2
162397.0,50,107,1,4765.0,1
54162.0,48,42,4,4648.0,2
30522.0,66,326,12,4648.0,0
54456.0,65,404,14,4519.0,0
31632.0,55,95,5,4648.0,2
72298.0,77,939,13,4189.0,0
36975.0,48,33,4,4648.0,2
72635.0,71,981,20,4765.0,1
13624.0,50,36,5,4648.0,2
84196.0,51,1237,19,4765.0,1
70971.0,66,1825,27,4648.0,1
34487.0,49,103,6,5035.0,2
28769.0,49,191,9,4648.0,2
69084.0,56,1586,23,4648.0,1
65488.0,68,963,13,4648.0,1
32218.0,66,93,6,4648.0,2
83917.0,53,1587,20,4648.0,1
46102.0,64,16,3,4189.0,0
84574.0,74,1375,31,4734.0,1
56181.0,64,393,13,4617.0,0
63120.0,76,1477,21,4648.0,1
73691.0,55,1179,16,4668.0,1
76140.0,78,1348,20,4648.0,1
62859.0,67,1307,19,4648.0,1
45906.0,62,486,13,4644.0,0
77632.0,79,2252,12,4554.0,1
46463.0,55,235,10,4648.0,2
105471.0,56,1724,30,4648.0,1
55282.0,56,235,10,4648.0,0
78710.0,49,1092,25,4648.0,1
66886.0,68,599,15,4648.0,0
98777.0,66,2008,19,4648.0,1
29103.0,41,48,4,4648.0,2
67445.0,52,1174,27,4853.0,1
50616.0,76,67,6,4648.0,0
49431.0,71,365,13,5128.0,2
153924.0,51,6,0,4282.0,0
61278.0,73,165,8,4374.0,0
73059.0,79,1095,25,4648.0,1
46734.0,60,223,8,4648.0,2
56253.0,63,597,18,5002.0,1
58330.0,51,1064,23,4648.0,1
25965.0,46,74,5,5005.0,2
14661.0,70,26,4,4829.0,2
18690.0,67,60,4,4648.0,2
45068.0,52,20,3,4648.0,2
21063.0,39,59,5,4648.0,2
29187.0,58,34,4,4582.0,2
54690.0,55,198,9,4638.0,2
59304.0,62,1048,25,4648.0,1
59247.0,64,574,16,4607.0,0
66731.0,56,1029,13,4852.0,1
77353.0,46,670,18,4648.0,1
26751.0,52,11,3,4648.0,2
81300.0,63,1241,18,4648.0,1
70337.0,47,576,16,4433.0,0
36145.0,41,172,8,4648.0,2
65295.0,46,664,19,4648.0,1
68118.0,63,928,21,4648.0,1
68743.0,59,2074,29,4648.0,1
41039.0,44,467,14,4648.0,2
38946.0,71,257,10,4648.0,0
65777.0,59,1146,16,4648.0,1
66476.0,50,689,18,4646.0,1
86857.0,54,2114,21,4852.0,1
160803.0,44,1717,29,5097.0,1
77845.0,37,1346,20,4648.0,1
69476.0,57,1044,14,4648.0,1
50611.0,66,493,16,5095.0,1
61209.0,56,957,12,4648.0,1
42315.0,68,270,9,4489.0,0
13084.0,74,29,4,4788.0,2
47570.0,77,121,6,4648.0,0
61923.0,65,126,7,4648.0,0
34824.0,31,23,3,4648.0,2
26518.0,77,57,5,4614.0,0
45938.0,65,636,18,4760.0,1
78468.0,66,1004,27,4218.0,1
78901.0,53,734,17,4648.0,1
71427.0,48,614,18,4128.0,0
71022.0,48,1453,18,4159.0,0
90247.0,38,1621,14,4648.0,1
41335.0,58,187,9,4648.0,2
35682.0,56,57,5,4648.0,2
43185.0,75,637,18,4553.0,0
66375.0,78,948,11,4648.0,0
25252.0,40,18,3,4489.0,2
55250.0,61,903,22,4648.0,1
33249.0,51,112,6,4648.0,2
58398.0,73,596,17,4648.0,0
50272.0,44,233,10,4641.0,2
76618.0,51,1511,10,5002.0,1
87305.0,66,1152,16,4648.0,1
25851.0,48,48,5,4524.0,2
58710.0,56,1185,25,4648.0,1
45160.0,68,21,3,4648.0,2
74806.0,61,965,14,4648.0,1
59111.0,72,869,20,4794.0,1
18988.0,42,16,4,4648.0,2
72190.0,61,1947,15,4648.0,1
7500.0,50,71,7,5188.0,2
80395.0,71,1380,23,4648.0,1
75012.0,50,1027,22,4648.0,1
56962.0,61,411,14,4516.0,0
89891.0,35,836,25,4648.0,1
35946.0,77,11,3,4648.0,2
53593.0,73,480,15,5006.0,1
45072.0,78,284,11,4648.0,0
89694.0,53,1472,11,4577.0,1
72025.0,77,1677,25,4648.0,1
67432.0,53,1335,17,4648.0,1
70545.0,74,334,12,4400.0,0
17487.0,37,18,3,4648.0,2
62882.0,57,1338,18,4944.0,1
64108.0,73,1099,26,4648.0,1
34941.0,70,97,6,4676.0,2
48767.0,76,63,6,4464.0,0
38702.0,48,109,7,4822.0,2
82224.0,62,902,20,4648.0,1
83844.0,74,1574,19,4491.0,1
17003.0,51,38,6,4575.0,2
71163.0,31,960,23,4219.0,0
33697.0,56,28,3,4648.0,2
63564.0,72,1215,27,4648.0,1
83443.0,54,1497,21,4648.0,1
51518.0,68,449,15,4761.0,0
80952.0,57,1757,24,4648.0,1
75507.0,47,1440,20,4429.0,1
63855.0,48,1006,23,4585.0,1
62220.0,54,1226,18,4883.0,1
58512.0,62,1171,15,4648.0,1
40662.0,47,92,6,4648.0,2
38829.0,67,99,7,4310.0,0
35523.0,45,66,6,4761.0,2
79146.0,59,564,17,4648.0,1
78285.0,38,1427,20,4648.0,1
31626.0,48,86,5,4552.0,2
75127.0,74,833,18,4648.0,1
48726.0,71,242,9,4648.0,0
74985.0,49,1869,16,4882.0,1
67430.0,39,1364,28,5066.0,1
46891.0,61,183,7,4821.0,2
62058.0,70,450,14,4648.0,0
72063.0,47,758,19,4764.0,1
78939.0,75,1507,19,4484.0,1
42720.0,61,654,17,4648.0,0
33622.0,54,81,6,4648.0,2
6835.0,69,137,1,4971.0,2
41452.0,73,16,3,4676.0,2
40760.0,61,93,6,4648.0,2
74250.0,68,1158,17,4648.0,1
51124.0,71,43,4,4648.0,0
72258.0,55,1525,20,4487.0,1
71466.0,52,1230,18,4341.0,0
36283.0,50,29,4,4648.0,2
20587.0,56,25,4,4156.0,0
30467.0,54,24,3,4648.0,2
31590.0,54,38,4,4648.0,2
