Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure,Total_Spend,Total_Purchases,Family_Size,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Cluster
1975,7500.0,1,0,2013-02-10,19,3,1,10,3,2,12,3,2,0,3,5,0,0,51,4789.0,31,5,2,False,False,True,False,False,False,True,False,False,False,False,2
1976,79941.0,0,0,,72,123,164,266,227,30,174,1,2,4,9,1,0,0,50,4648.0,984,15,1,False,True,False,False,False,False,False,True,False,False,False,1
1996,7500.0,0,0,2012-09-11,24,3,18,14,15,22,50,3,3,1,3,9,0,1,30,4941.0,122,7,1,False,False,False,False,False,False,True,False,False,False,False,2
1968,41728.0,1,0,,92,13,6,15,3,5,13,1,2,0,2,10,0,0,58,4648.0,55,4,2,False,True,False,False,False,False,False,False,True,False,False,2
1951,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,75,4464.0,124,7,4,False,True,False,False,False,False,False,True,False,False,False,2
1954,72550.0,1,1,2012-08-11,39,826,50,317,50,38,38,9,5,2,12,8,0,0,72,4972.0,1319,19,3,False,False,False,True,False,False,True,False,False,False,False,0
1957,65486.0,0,1,2014-12-05,29,245,19,125,37,67,14,1,4,2,10,2,0,0,69,4126.0,507,16,2,False,True,False,False,False,False,False,False,False,True,False,0
1964,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,62,4883.0,1693,28,1,False,False,True,False,False,False,True,False,False,False,False,1
1977,35790.0,1,0,2013-02-01,54,12,6,20,30,1,3,2,2,0,3,7,0,0,49,4798.0,72,5,2,False,True,False,False,False,False,False,True,False,False,False,2
1977,82582.0,0,0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1,0,1,49,4278.0,1617,20,1,False,True,False,False,False,True,False,False,False,False,False,1
1978,66373.0,1,1,2013-12-06,57,328,9,124,12,24,109,7,4,2,10,3,0,0,48,4490.0,606,16,3,False,True,False,False,False,False,True,False,False,False,False,0
1955,82384.0,0,0,,55,984,51,432,180,120,190,1,3,10,13,1,0,1,71,4648.0,1957,26,1,False,False,True,False,False,False,False,False,True,False,False,1
1966,70287.0,0,0,2013-02-04,30,295,35,482,121,120,40,1,5,5,10,3,0,1,60,4795.0,1093,20,1,False,True,False,False,False,True,False,False,False,False,False,1
1988,27938.0,1,0,,31,13,0,8,2,1,5,1,1,0,4,3,0,0,38,4648.0,29,5,2,False,True,False,False,False,False,False,True,False,False,False,2
1982,51381.5,1,0,,57,11,3,22,2,2,6,2,2,0,3,6,0,0,44,4648.0,46,5,2,False,True,False,False,False,False,False,True,False,False,False,2
1968,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,58,4403.0,518,16,2,False,False,False,True,False,False,True,False,False,False,False,0
1982,75777.0,0,0,2013-04-07,12,712,26,538,69,13,80,1,3,6,11,1,0,1,44,4733.0,1438,20,1,False,False,True,False,False,False,False,True,False,False,False,1
1975,66653.0,1,1,2012-07-09,18,452,18,102,16,18,6,4,4,2,12,3,0,0,51,5005.0,612,18,3,False,True,False,False,False,False,False,False,True,False,False,0
1952,61823.0,0,1,,26,523,7,134,37,14,169,4,8,2,10,7,0,0,74,4648.0,884,20,2,False,True,False,False,False,False,False,True,False,False,False,0
1951,67680.0,0,1,2013-11-06,8,546,0,48,0,6,6,1,7,3,8,5,0,0,75,4520.0,606,18,2,False,False,False,True,False,False,False,False,False,True,False,0
1948,70666.0,0,0,2013-06-12,29,398,40,367,119,122,30,1,7,4,4,4,0,0,78,4667.0,1076,15,1,False,True,False,False,False,False,False,False,True,False,False,1
1971,25721.0,1,0,,75,1,3,6,3,6,15,1,1,1,2,7,0,1,55,4648.0,34,4,2,False,True,False,False,False,False,True,False,False,False,False,2
1967,32474.0,1,1,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,0,59,4156.0,11,3,3,False,True,False,False,False,False,False,False,True,False,False,2
1979,88194.0,0,1,,19,688,14,309,201,24,38,1,11,10,10,5,0,1,47,4648.0,1274,31,2,False,False,False,False,False,False,False,True,False,False,False,1
1958,69096.0,0,1,,4,247,49,159,7,82,109,1,5,2,10,4,0,0,68,4648.0,653,17,2,False,True,False,False,False,False,False,False,True,False,False,0
1970,74854.0,1,2,2013-08-04,90,856,59,487,58,29,73,7,2,5,5,5,0,0,56,4614.0,1562,12,4,False,True,False,False,False,False,False,False,True,False,False,0
1954,66991.0,0,0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,72,4882.0,1253,18,1,False,False,True,False,False,False,True,False,False,False,False,1
1973,51381.5,1,0,,25,25,3,43,17,4,17,3,3,0,3,8,0,0,53,4648.0,109,6,2,False,False,False,False,False,False,True,False,False,False,False,2
1959,65031.0,0,1,,29,258,107,291,84,37,86,4,10,3,13,7,0,0,67,4648.0,863,26,2,False,True,False,False,False,False,True,False,False,False,False,0
1975,60631.0,1,1,2013-05-04,88,565,6,65,0,6,19,5,9,2,8,7,0,0,51,4706.0,661,19,3,False,False,False,True,False,False,True,False,False,False,False,0
1952,28332.0,0,0,,58,14,10,13,4,15,9,1,2,1,4,2,0,0,74,4648.0,65,7,1,False,True,False,False,False,False,True,False,False,False,False,2
1977,40246.0,1,0,,68,2,1,6,2,1,1,1,1,0,2,6,0,0,49,4648.0,13,3,2,False,True,False,False,False,True,False,False,False,False,False,2
1972,75251.0,0,0,,34,721,111,925,97,18,18,1,7,6,5,5,0,1,54,4648.0,1890,18,1,False,False,True,False,False,False,True,False,False,False,False,1
1976,75825.0,0,0,2012-12-10,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,50,4851.0,2209,22,1,False,True,False,False,False,False,False,True,False,False,False,1
1976,26326.0,0,0,2013-04-09,12,1,0,5,0,3,9,1,0,0,3,3,1,0,50,4731.0,18,3,1,False,False,False,False,False,False,False,False,True,False,False,2
1965,56046.0,0,0,2013-02-01,9,577,0,64,0,0,51,2,10,1,8,8,0,1,61,4798.0,692,19,1,False,True,False,False,False,False,False,False,True,False,False,0
1985,29760.0,1,0,,87,64,4,68,7,5,17,4,3,1,4,8,0,0,41,4648.0,165,8,2,False,True,False,False,False,False,False,True,False,False,False,2
1969,26304.0,1,0,,5,4,1,5,2,0,4,1,1,0,2,7,0,0,57,4648.0,16,3,2,False,True,False,False,False,False,True,False,False,False,False,2
1973,23559.0,1,0,2013-03-07,87,25,5,19,7,0,23,3,3,0,3,7,0,0,53,4764.0,79,6,2,False,False,False,False,False,False,True,False,False,False,False,2
1987,81361.0,0,0,,18,163,23,424,27,65,76,1,3,10,13,1,0,0,39,4648.0,778,26,1,False,True,False,False,False,True,False,False,False,False,False,1
1960,29440.0,1,1,2013-11-08,95,17,8,14,10,4,3,2,1,0,4,7,0,0,66,4518.0,56,5,3,False,True,False,False,False,False,True,False,False,False,False,2
1970,36138.0,1,1,,48,130,0,16,0,0,5,5,3,1,4,7,0,0,56,4648.0,151,8,3,False,False,True,False,False,False,True,False,False,False,False,2
1957,50388.0,0,1,,3,292,6,37,0,3,34,4,6,1,6,7,0,1,69,4648.0,372,13,2,False,True,False,False,False,False,False,True,False,False,False,0
1973,79593.0,0,0,2014-12-05,70,350,60,568,110,133,145,1,5,6,7,2,0,0,53,4126.0,1366,18,1,False,True,False,False,False,False,True,False,False,False,False,1
1967,54178.0,0,1,,79,135,9,39,4,0,7,1,2,2,5,2,0,0,59,4648.0,194,9,2,False,True,False,False,False,False,False,False,True,False,False,2
1957,51381.5,2,1,,4,230,42,192,49,37,53,12,7,2,8,9,0,0,69,4648.0,603,17,4,False,False,False,True,False,False,True,False,False,False,False,0
1957,51381.5,1,1,,45,7,0,8,2,0,1,1,1,0,2,7,0,0,69,4648.0,18,3,3,False,True,False,False,False,False,False,True,False,False,False,2
1973,51381.5,0,0,,87,445,37,359,98,28,18,1,2,4,8,1,0,0,53,4648.0,985,14,1,False,False,True,False,False,False,False,False,True,False,False,1
1972,42394.0,1,0,,69,15,2,10,0,1,4,1,1,0,3,7,0,0,54,4648.0,32,4,2,False,False,True,False,False,False,False,True,False,False,False,2
1970,23626.0,1,0,,84,27,2,14,0,0,0,3,3,1,3,5,0,0,56,4648.0,43,7,2,False,False,False,True,False,False,True,False,False,False,False,2
1983,30096.0,1,0,,30,5,3,11,12,5,9,1,2,0,3,6,0,0,43,4648.0,45,5,2,False,True,False,False,False,False,True,False,False,False,False,2
1960,47916.0,0,1,,72,505,0,26,0,0,75,5,7,4,6,6,0,0,66,4648.0,606,17,2,False,True,False,False,False,False,False,False,False,True,False,0
1972,51813.0,1,1,2013-11-04,37,51,2,7,0,1,2,2,2,0,3,7,0,0,54,4522.0,63,5,3,False,True,False,False,False,True,False,False,False,False,False,2
1951,78497.0,0,0,2013-01-12,44,207,26,447,75,0,223,1,5,7,12,2,0,0,75,4818.0,978,24,1,False,False,False,False,False,False,True,False,False,False,False,1
1983,50150.0,0,0,,32,135,46,92,65,61,11,2,5,2,7,5,0,0,43,4648.0,410,14,1,False,False,False,True,False,False,True,False,False,False,False,0
1960,47823.0,0,1,,0,53,1,5,2,1,10,2,2,0,3,8,0,0,66,4648.0,72,5,2,False,False,False,False,False,False,False,True,False,False,False,2
1959,34554.0,0,1,,43,41,1,6,2,0,5,2,2,0,3,6,0,0,67,4648.0,55,5,2,False,False,False,True,False,False,False,True,False,False,False,2
1979,85693.0,0,1,,59,386,172,183,185,132,111,2,9,5,11,5,0,0,47,4648.0,1169,25,2,False,True,False,False,False,False,False,False,True,False,False,1
1945,65846.0,0,0,,68,562,81,276,80,40,81,1,6,3,6,4,0,0,81,4648.0,1120,15,1,False,False,False,True,False,False,True,False,False,False,False,1
1959,87195.0,0,0,2014-08-05,35,217,76,690,50,26,38,1,3,11,5,1,0,1,67,4248.0,1097,19,1,False,True,False,False,False,False,True,False,False,False,False,1
1979,24594.0,1,0,2013-10-12,94,1,3,6,10,0,9,1,1,0,3,5,0,0,47,4545.0,29,4,2,True,False,False,False,False,False,False,False,True,False,False,2
1964,49096.0,1,1,,15,144,1,32,2,1,7,4,4,1,4,7,0,0,62,4648.0,187,9,3,False,True,False,False,False,False,True,False,False,False,False,2
1969,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,57,4797.0,910,22,3,False,True,False,False,False,False,True,False,False,False,False,0
1978,38557.0,1,0,,17,76,3,31,4,4,27,2,3,1,3,7,0,0,48,4648.0,145,7,2,False,True,False,False,False,False,False,True,False,False,False,2
1960,89058.0,0,0,2012-07-12,18,454,194,106,31,22,43,1,5,4,4,2,0,0,66,5002.0,850,13,1,False,False,True,False,False,False,True,False,False,False,False,1
1979,77298.0,0,1,2013-02-11,46,425,115,292,23,35,79,1,6,6,11,3,0,0,47,4788.0,969,23,2,False,True,False,False,False,False,False,False,True,False,False,1
1991,68126.0,0,0,2012-10-11,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,35,4911.0,1820,16,1,False,False,False,True,False,False,False,True,False,False,False,1
1963,57288.0,0,1,,27,527,0,21,0,0,60,3,8,1,8,6,0,0,63,4648.0,608,17,2,False,False,True,False,False,False,False,False,True,False,False,0
1991,86037.0,0,0,2013-02-01,95,490,44,125,29,20,22,1,6,7,11,3,0,1,35,4798.0,730,24,1,False,True,False,False,False,False,False,True,False,False,False,1
1980,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,46,4849.0,551,16,2,False,False,False,True,False,False,True,False,False,False,False,0
1962,50785.0,1,1,2013-10-09,27,64,1,21,0,1,27,2,2,1,3,6,0,0,64,4548.0,114,6,3,False,True,False,False,False,False,False,True,False,False,False,2
1970,90765.0,0,0,,25,547,99,812,151,82,33,0,4,6,5,1,0,0,56,4648.0,1724,15,1,False,True,False,False,False,False,True,False,False,False,False,1
1978,36550.0,1,0,,74,47,90,94,123,103,120,5,9,1,5,9,0,0,48,4648.0,577,15,2,False,False,False,False,False,False,True,False,False,False,False,0
1967,30753.0,1,1,2013-11-07,85,12,5,25,0,9,30,2,1,1,3,5,0,0,59,4519.0,81,5,3,False,False,False,False,False,False,False,False,True,False,False,2
1969,21918.0,1,0,,37,1,6,7,11,5,3,2,2,0,3,6,0,0,57,4648.0,33,5,2,False,True,False,False,False,False,False,False,True,False,False,2
1953,56129.0,0,1,,65,320,48,133,39,72,48,4,6,2,10,4,0,0,73,4648.0,660,18,2,False,False,True,False,False,False,False,False,True,False,False,0
1967,32557.0,1,0,,13,34,3,29,0,4,10,3,2,1,3,5,0,1,59,4648.0,80,6,2,False,False,True,False,False,False,False,True,False,False,False,2
1985,19510.0,2,0,2013-04-09,63,9,0,7,3,4,7,2,1,0,3,7,0,0,41,4731.0,30,4,3,False,False,True,False,False,False,True,False,False,False,False,2
1976,30992.0,1,0,,83,17,0,14,7,3,2,1,1,0,3,7,0,0,50,4648.0,43,4,2,False,True,False,False,False,True,False,False,False,False,False,2
1983,101970.0,0,0,2013-12-03,69,722,27,102,44,72,168,0,6,8,13,2,0,1,43,4493.0,1135,27,1,False,True,False,False,False,False,False,True,False,False,False,1
1965,71488.0,0,0,,87,162,33,124,40,28,172,2,3,4,7,1,0,0,61,4648.0,559,14,1,False,False,False,False,False,False,False,False,True,False,False,1
1984,79607.0,0,0,,37,450,133,951,173,0,216,1,3,6,6,1,0,1,42,4648.0,1923,15,1,False,True,False,False,False,False,False,True,False,False,False,1
1953,54348.0,1,1,2014-08-06,51,70,0,16,0,0,4,2,2,0,4,6,0,0,73,4247.0,90,6,3,False,False,True,False,False,False,True,False,False,False,False,2
1961,51381.5,0,1,2013-11-07,23,352,0,27,10,0,15,3,6,1,7,6,0,0,65,4519.0,404,14,2,False,False,False,True,False,False,True,False,False,False,False,0
1956,77376.0,1,1,2014-10-05,72,492,19,110,16,12,12,4,6,3,10,4,0,0,70,4187.0,661,19,3,False,False,False,True,False,False,False,False,True,False,False,0
1952,62998.0,0,1,,10,120,58,73,65,89,58,5,5,4,5,5,0,0,74,4648.0,463,14,2,False,True,False,False,False,False,True,False,False,False,False,0
1958,61331.0,1,1,2013-10-03,42,534,5,47,0,5,41,5,11,1,6,8,0,0,68,4554.0,632,18,3,False,False,True,False,True,False,False,False,False,False,False,0
1969,73448.0,0,0,2014-10-02,10,236,106,189,23,41,130,1,7,2,9,4,0,0,57,4190.0,725,18,1,False,True,False,False,False,False,True,False,False,False,False,1
1963,51381.5,0,1,2013-11-08,96,231,65,196,38,71,124,1,6,5,7,4,0,0,63,4518.0,725,18,2,False,True,False,False,False,False,True,False,False,False,False,0
1964,41551.0,1,1,,51,220,0,33,3,0,23,5,5,1,5,8,0,0,62,4648.0,279,11,3,False,False,False,True,False,False,True,False,False,False,False,2
1967,62981.0,0,0,,21,796,14,590,38,44,0,1,4,5,13,3,0,0,59,4648.0,1482,22,1,False,False,False,True,False,False,False,False,True,False,False,1
1976,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,50,4975.0,29,4,2,True,False,False,False,False,True,False,False,False,False,False,2
1959,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,67,4642.0,106,6,4,False,False,False,True,False,False,True,False,False,False,False,2
1973,35860.0,1,1,,37,15,0,8,4,2,20,2,1,1,2,5,0,1,53,4648.0,49,4,3,False,False,False,True,True,False,False,False,False,False,False,2
1965,36921.0,1,1,,74,17,1,12,3,1,4,2,2,0,3,7,0,0,61,4648.0,38,5,3,False,False,False,True,False,True,False,False,False,False,False,2
1992,92859.0,0,0,,46,962,61,921,52,61,20,1,5,4,12,2,0,0,34,4648.0,2077,21,1,False,False,True,False,False,False,False,True,False,False,False,1
1976,65104.0,0,1,,4,738,0,232,13,20,50,2,3,5,7,7,0,1,50,4648.0,1053,15,2,False,False,True,False,False,False,False,False,True,False,False,0
1962,86111.0,0,0,,73,399,28,756,36,40,126,1,5,7,10,2,0,0,64,4648.0,1385,22,1,False,True,False,False,False,False,True,False,False,False,False,1
1974,68352.0,0,1,,47,614,16,132,43,33,33,3,8,5,9,6,0,0,52,4648.0,871,22,2,False,False,False,True,False,False,False,True,False,False,False,0
1988,41883.0,1,0,,13,32,34,41,73,16,116,3,4,2,3,7,0,0,38,4648.0,312,9,2,False,True,False,False,False,False,False,False,True,False,False,2
1976,59809.0,0,2,,36,598,16,141,32,41,49,3,3,3,6,8,0,0,50,4648.0,877,12,3,False,True,False,False,False,False,True,False,False,False,False,0
1975,23957.0,1,0,,47,2,1,18,20,11,16,1,2,0,3,6,0,1,51,4648.0,68,5,2,False,True,False,False,False,False,True,False,False,False,False,2
1981,38547.0,1,0,,49,6,1,10,0,1,4,1,1,0,2,8,1,0,45,4648.0,22,3,2,False,True,False,False,False,False,False,False,True,False,False,2
1973,35688.0,2,1,,94,73,3,90,12,1,32,7,4,1,4,8,0,0,53,4648.0,211,9,4,False,False,False,False,False,False,True,False,False,False,False,2
1966,49605.0,0,0,,65,42,16,29,12,20,8,1,2,1,4,3,0,0,60,4648.0,127,7,1,False,False,True,False,False,False,True,False,False,False,False,2
1953,59354.0,0,2,,59,295,21,78,39,13,13,1,4,4,7,3,0,0,73,4648.0,459,15,3,False,False,True,False,False,False,True,False,False,False,False,0
1969,65747.0,0,1,2014-07-03,96,346,17,48,23,13,13,4,8,1,6,6,0,0,57,4281.0,460,15,2,False,True,False,False,False,False,True,False,False,False,False,0
1972,46344.0,0,1,,28,233,20,57,8,20,91,4,7,1,5,7,0,0,54,4648.0,429,13,2,False,False,False,False,False,False,False,False,True,False,False,0
1988,34176.0,1,0,2014-12-05,12,5,7,24,19,14,20,4,3,0,4,6,0,0,38,4126.0,89,7,2,False,True,False,False,True,False,False,False,False,False,False,2
1952,61010.0,0,1,2012-09-10,57,888,0,57,0,0,76,2,8,5,11,5,0,0,74,4942.0,1021,24,2,False,False,False,True,False,False,False,False,True,False,False,0
1949,69372.0,0,0,,10,997,26,269,34,13,42,1,10,4,6,4,0,1,77,4648.0,1381,20,1,False,True,False,False,False,False,False,False,True,False,False,1
1958,49967.0,0,1,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,0,68,4611.0,306,12,2,False,True,False,False,False,False,False,True,False,False,False,0
1978,60199.0,1,2,2013-12-09,49,8,1,7,2,0,0,1,0,0,3,4,0,0,48,4487.0,18,3,4,False,True,False,False,False,False,False,True,False,False,False,2
1977,55375.0,0,1,,3,42,11,57,10,28,14,1,1,1,6,2,0,0,49,4648.0,162,8,2,False,True,False,False,False,False,False,False,True,False,False,2
1955,80317.0,0,0,,64,536,11,387,149,91,57,1,3,4,10,1,0,0,71,4648.0,1231,17,1,False,True,False,False,False,False,False,True,False,False,False,1
1958,30523.0,2,1,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7,0,0,68,4823.0,13,3,4,False,False,True,False,False,False,False,True,False,False,False,2
1945,70356.0,0,0,2012-05-11,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,81,5064.0,1706,25,1,False,False,False,True,False,False,True,False,False,False,False,1
1984,23228.0,1,0,2014-05-01,91,53,3,49,7,4,5,4,3,0,4,8,0,0,42,4344.0,121,7,2,False,True,False,False,False,False,True,False,False,False,False,2
1975,74165.0,0,0,2013-01-05,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,51,4825.0,1293,19,1,False,False,False,True,False,True,False,False,False,False,False,1
1973,157243.0,0,1,2014-01-03,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,53,4462.0,1608,22,2,False,False,False,True,False,False,True,False,False,False,False,1
1966,43482.0,2,1,,83,18,1,32,6,3,28,3,2,0,4,6,0,0,60,4648.0,88,6,4,False,True,False,False,False,False,False,False,True,False,False,2
